EST,Temperature,DewPoint,Humidity,SeaLevelPressureIn,VisibilityMiles,WindSpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees
1/1/2016,38,23,52,30.03,10,8,0.0,5,,281
1/2/2016,36,18,46,30.02,10,7,0.0,3,,275
1/3/2016,40,21,47,29.86,10,8,0.0,1,,277
1/4/2016,25,9,44,30.05,10,9,0.0,3,,345
1/5/2016,20,-3,41,30.57,10,5,0.0,0,,333
1/6/2016,33,4,35,30.5,10,4,0.0,0,,259
1/7/2016,39,11,33,30.28,10,2,0.0,3,,293
1/8/2016,39,29,64,30.2,10,4,0.0,8,,79
1/9/2016,42,31,65,29.95,9,6,0.05,7,Rain,101
1/10/2016,37,26,62,29.88,8,10,0.1,6,Rain,115
1/11/2016,34,20,57,30.1,10,7,0.0,4,,230
1/12/2016,30,15,53,30.22,10,5,0.0,2,,270
1/13/2016,28,10,49,30.35,10,8,0.0,1,,310
1/14/2016,24,5,45,30.48,10,11,0.0,0,,320
1/15/2016,22,2,43,30.55,10,9,0.0,0,,335
1/16/2016,27,8,46,30.4,10,6,0.0,2,,290
1/17/2016,31,14,50,30.18,10,5,0.0,3,,265
1/18/2016,35,19,53,29.99,9,7,0.02,5,Rain,180
1/19/2016,33,22,62,29.8,7,12,0.15,7,Rain,160
1/20/2016,29,17,59,29.75,5,14,0.25,8,Snow,140
1/21/2016,26,12,55,29.9,6,10,0.1,6,Snow,155
1/22/2016,23,6,48,30.12,10,8,0.0,3,,245
1/23/2016,21,3,45,30.3,10,7,0.0,1,,260
1/24/2016,25,7,47,30.25,10,5,0.0,2,,275
1/25/2016,30,13,50,30.08,10,6,0.0,4,,288
1/26/2016,34,18,52,29.92,9,8,0.03,5,Rain,200
1/27/2016,36,22,58,29.85,8,9,0.08,6,Rain,185
1/28/2016,38,25,60,29.78,7,11,0.12,7,Rain,170
1/29/2016,35,20,55,29.95,10,7,0.0,4,,220
1/30/2016,32,16,52,30.15,10,5,0.0,2,,240
1/31/2016,29,12,49,30.28,10,4,0.0,1,,255
